RA[Deg],Dec[deg]
279.308417,-35.712611
272.349083,-31.435111
270.887,-30.036556
277.741958,-36.585611
201.363042,-43.018639
279.00325,-33.9165
130.747375,-0.010278
162.000458,-0.001222
272.619667,-32.245944
275.704458,-32.179361
271.051208,-31.381694
275.865458,-33.980222
277.339375,-33.114361
277.534333,-34.841
327.992333,0.004222
274.22525,-33.111444
140.683167,-45.252306
220.500375,-0.08075
320.991083,0.005722
269.556042,-28.784111
269.52175,-30.517333
272.615458,-30.4455
268.066333,-34.84625
282.0715,-30.430167
266.4985,-33.979917
269.603792,-35.64075
245.792958,-55.324111
270.910875,-26.190083
271.255708,-36.577167
275.440083,-28.71875
273.977333,-27.851056
272.394125,-26.982889
190.0015,-11.700944
284.071083,-30.498917
269.641,-33.914167
269.545167,-32.181694
266.460417,-32.180222
301.844333,-44.616972
271.118458,-33.115778
271.180833,-34.848833
272.471875,-28.710306
272.928375,-37.444083
274.011792,-29.578583
268.007375,-31.385139
270.957625,-27.913028
277.007958,-29.654222
272.792167,-33.981667
273.885292,-26.119306
268.072667,-36.581111
264.823625,-34.851722
272.327167,-25.252889
266.394292,-35.645333
269.648167,-37.451
275.332208,-27.056167
276.86525,-27.925
275.570333,-30.453139
201.731583,-47.456806
186.755125,0.005
154.43525,-46.394639
143.256333,-0.091611
273.049042,-39.177417
189.894625,-26.654556
264.595792,-39.970583
344.9995,0.001444
269.727917,-40.91025
271.494167,-41.774278
272.815542,-35.646361
273.175917,-40.910056
245.947083,-26.562389
263.025458,-39.104083
263.143375,-37.44325
287.761583,-59.881861
181.045583,-45.401639
53.123625,-27.766361
266.344458,-40.837806
15.003292,0.00075
325.003375,0.003361
341.407125,-44.3795
264.82575,-36.507278
269.686167,-39.180333
295.049417,-30.856111
264.753083,-38.238306
266.3225,-39.104778
271.40825,-40.044306
268.0025,-38.311528
268.004417,-40.043167
274.497417,-36.58375
271.32825,-38.31675
206.684917,-51.264694
274.650083,-38.31375
266.359708,-37.445472
13.192708,-26.513083
276.036125,-35.709139
232.001917,-50.604361
275.1145,-23.596611
278.101417,-25.325972
275.21525,-25.326917
277.960375,-23.598667
274.428042,-34.778389
273.723875,-22.660139
276.668833,-24.388944
276.791583,-26.122389
6.020208,-72.016833
279.458042,-24.462806
273.728375,-24.460444
277.232833,-31.317083
278.791333,-32.181
272.337458,-23.525167
149.5025,-0.172944
138.039333,-64.778361
274.112958,-31.386667
276.552792,-22.800722
264.101292,-44.644639
279.696833,-26.264583
268.003458,-33.114139
281.2505,-27.130889
221.386125,-45.264167
278.319875,-27.129194
275.025125,-21.864361
279.811167,-27.925611
225.0615,-82.121917
281.057333,-25.396222
0.006375,-29.887389
285.697083,2.220806
242.226792,-53.162
242.847292,-55.300111
60.082208,-59.951333
265.276375,-53.706528
60.011875,-29.900472
251.167542,-58.028556
289.997542,-31.747222
315.000167,-15.00275
162.059875,-31.690111
165.176375,-31.84125
315.003917,-19.996583
242.727292,-33.992056
173.067958,-29.262778
173.255375,-31.857
150.133292,2.233972
