SCYA,Common Name,RA,Dec,l,b,Dsky_mj,Dsky_mn,Distance (pc),Age
16,BH 56,134.6,-43.1,264.5,1.7,0.9,0.6,895.4,10
40,Dolidze 8,305,41,78.5,2.7,1.4,0.6,968.5,2
48,M6,265,-32.3,356.5,-0.7,2.1,0.6,463.7,42
51,$cP418$,314.4,44.2,85.2,-0.9,1.8,0.7,880.8,1
12,IC 2395,130.5,-48,266.5,-3.6,1.6,0.9,697.8,8
41,$cP403$,307.5,40.1,78.9,0.7,2.3,0.7,939.5,2
92,Haffner 13,115.4,-30.2,245.2,-3.6,1.7,1,550.9,26
17,Vela-C,131.1,-41.2,261.4,1,2.5,0.7,914.3,3
55,NGC 3228,155.1,-51.8,280.7,4.3,2.2,0.8,474.1,21
23,Theia 761,84.7,26.3,181.4,-2.6,3,0.7,740.2,5
8,,256.3,-46.1,341.3,-2.9,2.4,1.1,959.5,7
61,ASCC 107,295.7,21.4,57.6,-1.3,2.2,1.2,862.3,10
67,UPK 73,293.4,22,57.3,1.3,3.1,1,647.4,4
74,P344,282.1,0.9,33.8,1.5,2.7,1.2,563,4
4,NGC 2169,92.1,14,195.5,-2.8,3.2,1.1,932.8,16
37,$cT58$,131.9,-39,260,2.8,2.2,1.6,577.1,34
22,Cone,100,9.8,202.8,1.9,2.6,1.4,688.3,5
15,$fP674$,137.3,-47.6,269.2,0,2.5,1.5,838,6
52,Theia 1,315.6,50.8,91,2.7,2.7,1.4,586.9,2
94,H-R 574,113.4,-25.3,240,-2.4,2.4,1.6,445.4,28
13,P653,123.1,-39.4,256.2,-3.4,2.7,1.5,857.7,7
62,P652,123.9,-38.7,255.9,-2.3,2.1,2,587.1,6
33,Theia 19,4.2,66.1,119.1,3.4,2.8,1.8,701.6,3
86,ASCC 123,340.3,53.9,104.2,-3.9,4.9,1.2,225.8,44
93,H-R 5495,120.2,-31.5,248.4,-0.5,4.5,1.5,477.6,29
89,Theia 38,291.1,22.1,56.1,3.2,3.8,1.8,492.7,7
90,Roslund 5,302.4,32.8,70.5,-0.2,3.2,2.5,374.5,80
53,North America,314.3,44.5,85.3,-0.7,4.3,2,755.2,3
9,$fT285/P513$,22.6,64.4,127.3,1.8,3.1,2.9,903,6
91,Cep OB6,333,56,101.8,-0.3,8,1.3,240.6,59
79,Theia 98,311.2,45.2,84.4,1.9,6.4,1.9,435.8,29
6,Circinus,226.5,-60.9,318.3,-2.5,4.6,2.7,895.2,5
31,$fT6$,10.7,62.1,121.9,-0.7,5.2,2.5,527.2,3
87,Theia 136,329.6,52.1,97.9,-2.8,4.1,3.3,266.5,80
7,NAS,250.5,-46.6,338.7,-1.7,5.2,2.8,945.3,5
82,Serpens,277.5,-3.5,27.2,3.2,6.9,3.6,433,5
44,$cT624$,257.1,-37.7,348.1,1.7,6.2,4.3,407.4,41
111,$fT75/P144$,223.8,-66.4,314.9,-6.6,13.3,2.2,394.5,27
95,$fT96/236$,291.5,21.4,56,2,9.4,3.2,291.4,24
84,Alessi 20,344.9,58.3,114.2,-3.7,8.6,3.7,419,11
77,NGC2451A,116.1,-39,253.2,-7.7,11.9,3,189,42
24,Cep OB2/3,330.4,61.5,104.5,4.4,10.4,4.1,865.8,3
113,Tr 10,144.2,-52.6,276,-0.2,19.4,2.7,409.7,47
88,$fT133$,349,65,116.1,3.2,9.8,6.7,183.8,43
109,Carina-Musca,172.8,-70.1,296.4,-10.1,16.6,5,268.1,28
83,Cep Flare,339.4,66.5,111.7,5.7,19.3,8.7,365.3,12
114,Vela,120.4,-45.6,260.4,-8.3,22,8.3,359.3,19
96,Cep-Her,285.7,36.7,66.9,12.9,33.6,7.1,336.9,29
108,Taurus,74,23,179.7,-15.6,22.8,13.2,143.4,11
115,Ori-Per,83.2,-2.3,205.7,-18.5,30.9,10.4,354.1,9
107,Per OB3,70,29.9,170.3,-5.5,37.2,8.9,179.7,58
103,Sco-Cen,233.6,-39.5,333.9,11.7,109.7,21.5,139.2,17
